Vibration3HDate,Vibration3H
2017-07-05,198.93492479607036
2017-07-06,199.41257362319794
2017-07-07,199.84295464016455
2017-07-08,200.27343558049205
2017-07-09,200.70403695109468
2017-07-10,201.1347305947613
2017-07-11,201.70840506039815
2017-07-12,202.685635555468
2017-07-13,203.60113267888673
2017-07-14,204.45597628578452
2017-07-15,205.30898323291373
2017-07-16,206.1601147322384
2017-07-17,207.00938818538975
2017-07-18,207.14253500658282
2017-07-19,205.2565251496932
2017-07-20,203.80027743433732
2017-07-21,202.63743638297234
2017-07-22,201.4739114388011
2017-07-23,200.3097284496326
2017-07-24,199.1448753455704
2017-07-25,198.55076261836396
2017-07-26,199.56982228119878
2017-07-27,200.3415984384918
2017-07-28,200.87817030152274
2017-07-29,201.41550283528588
2017-07-30,201.95363947668392
2017-07-31,202.49253680971668
2017-08-01,202.81795907557964
2017-08-02,202.53895202689773
2017-08-03,202.2591348242492
2017-08-04,202.0683629065274
2017-08-05,201.87836559824808
2017-08-06,201.68914752737578
2017-08-07,201.50069030893593
2017-08-08,201.45404292132702
2017-08-09,201.80979262676811
2017-08-10,202.1026487249989
2017-08-11,202.3356016038676
2017-08-12,202.5674792124418
2017-08-13,202.79830739853048
2017-08-14,202.79742025182526
2017-08-15,202.82272706465116
2017-08-16,202.02733251793802
2017-08-17,201.34180672326858
2017-08-18,200.76014771516412
2017-08-19,200.16470702826138
2017-08-20,199.55593699850786
2017-08-21,198.9108341969884
2017-08-22,198.1642370659253
2017-08-23,197.3967642404486
2017-08-24,196.54249850921303
2017-08-25,195.7030550205757
2017-08-26,194.87768240067294
2017-08-27,194.05169963454367
2017-08-28,193.22509694995136
2017-08-29,192.39785612848175
2017-08-30,191.56998791995227
2017-08-31,190.74149999556226
2017-09-01,189.91236942532333
2017-09-02,189.0847002740569
2017-09-03,188.25851605010706
2017-09-04,187.43307315889828
2017-09-05,187.25120612341428
2017-09-06,188.88564785533785
2017-09-07,190.2426080867562
2017-09-08,191.33558925460272
2017-09-09,192.42952166243515
2017-09-10,193.5243619360581
2017-09-11,194.35732845836242
2017-09-12,194.69120280465236
2017-09-13,193.61389703781248
2017-09-14,192.75394582134265
2017-09-15,192.1007768393896
2017-09-16,191.44502896612144
2017-09-17,190.78667406522965
2017-09-18,190.12574029392542
2017-09-19,189.89076547400137
2017-09-20,190.86359041323777
2017-09-21,191.64833206183096
2017-09-22,192.25402757765656
2017-09-23,192.86086225292235
2017-09-24,193.46879732049513
2017-09-25,194.07785781140026
2017-09-26,194.61662027275912
2017-09-27,194.9547830878235
2017-09-28,195.32498559991797
2017-09-29,195.7257148335683
2017-09-30,196.12422857788084
2017-10-01,196.52056559998903
2017-10-02,196.91515666770874
2017-10-03,196.30799880051228
2017-10-04,192.87486022730445
2017-10-05,190.03350489119896
2017-10-06,187.60213593522684
2017-10-07,185.1740953215202
2017-10-08,182.74942944660688
2017-10-09,180.32809804157466
2017-10-10,185.6958189719936
2017-10-11,205.40171842653388
2017-10-12,200.12491867912996
2017-10-13,194.9584795606126
2017-10-14,192.94149228898425
2017-10-15,190.9225711644156
2017-10-16,188.901700907215
2017-10-17,186.8788967761716
2017-10-18,184.85416505969863
2017-10-19,182.82746701156532
2017-10-20,180.79882762099226
2017-10-21,178.77035359566503
2017-10-22,176.74204942365282
2017-10-23,174.71389984616656
2017-10-24,173.41118560402236
2017-10-25,174.15698291654377
2017-10-26,174.58904664418168
2017-10-27,174.72262392970407
2017-10-28,174.8563635999445
2017-10-29,174.99028389421983
2017-10-30,175.12437267992652
2017-10-31,175.03717092274772
2017-11-01,174.32476709515407
2017-11-02,173.84894537466857
2017-11-03,173.46446285366534
2017-11-04,173.08012533665152
2017-11-05,172.69595018345342
2017-11-06,172.31193276610657
2017-11-07,171.92809283146926
2017-11-08,171.54442140916564
2017-11-09,171.1611608491229
2017-11-10,170.78546964535087
2017-11-11,170.43037784653848
2017-11-12,170.0726448899149
2017-11-13,169.71238251497562
2017-11-14,169.35255467143918
2017-11-15,168.99314846088345
2017-11-16,168.63418441112506
2017-11-17,168.98990591036306
2017-11-18,171.3634335739175
2017-11-19,173.42830062115905
2017-11-20,175.1995118963784
2017-11-21,176.97120795571652
2017-11-22,178.74338417120907
2017-11-23,180.51605892783053
2017-11-24,181.26321539097125
2017-11-25,179.11130286081993
2017-11-26,177.40196981944283
2017-11-27,176.11357579972633
2017-11-28,174.8237190646213
2017-11-29,173.53238986279362
2017-11-30,172.23957756341866
2017-12-01,170.94527769932975
2017-12-02,169.65125914042326
2017-12-03,168.35750798979387
2017-12-04,167.06405536427786
2017-12-05,166.37543710580292
2017-12-06,167.39446815243014
2017-12-07,168.15212359419138
2017-12-08,168.6611309397813
2017-12-09,169.1702411217405
2017-12-10,169.6794443887349
2017-12-11,169.89904037001168
2017-12-12,170.10744020808187
2017-12-13,170.31586807956285
2017-12-14,170.5243627306856
2017-12-15,171.082897625448
2017-12-16,172.63002532493113
2017-12-17,174.02578616413444
2017-12-18,175.27755675755316
2017-12-19,176.52944538711142
2017-12-20,177.78145203190672
2017-12-21,179.0335767128415
2017-12-22,179.5001062341151
2017-12-23,177.74771517370056
2017-12-24,176.3355112950985
2017-12-25,175.24692721978835
2017-12-26,174.15844726280977
2017-12-27,173.07011021219864
2017-12-28,171.9818910369293
2017-12-29,170.89378673557167
2017-12-30,169.80580047035352
2017-12-31,168.71793224127484
2018-01-01,167.6301744398436
2018-01-02,166.542520756744
2018-01-03,165.4553252516768
2018-01-04,164.65117092584296
2018-01-05,164.204586374793
2018-01-06,164.76708887319364
2018-01-07,165.17546293448424
2018-01-08,165.43719687085087
2018-01-09,165.6993719261166
2018-01-10,165.96237482890294
2018-01-11,166.22621635569226
2018-01-12,165.7765709560545
2018-01-13,163.3104443438059
2018-01-14,161.15431416625842
2018-01-15,159.29309178310643
2018-01-16,157.43270820565763
2018-01-17,155.57117830564994
2018-01-18,153.70853026119693
2018-01-19,152.27296640975646
2018-01-20,152.04632753820636
2018-01-21,151.63273826794222
2018-01-22,151.04122047714847
2018-01-23,150.44824889677676
2018-01-24,149.85535031145167
2018-01-25,149.52878508285883
2018-01-26,149.9542320356693
2018-01-27,150.53077364702295
2018-01-28,151.749690689411
2018-01-29,152.8534995174999
2018-01-30,153.84778635882998
2018-01-31,154.8415731866774
2018-02-01,155.83486448334872
2018-02-02,156.82794219508958
2018-02-03,157.82078892026894
2018-02-04,158.81339406986694
2018-02-05,159.8057544549908
2018-02-06,160.12258539825052
2018-02-07,158.53229695667955
2018-02-08,157.2344427553914
2018-02-09,156.21482390596316
2018-02-10,155.1953515296538
2018-02-11,154.17605380457684
2018-02-12,153.1569025735211
2018-02-13,171.3512162494236
2018-02-14,168.9768018935028
2018-02-15,166.3700879427155
2018-02-16,163.54240959331844
2018-02-17,160.71431628095564
2018-02-18,158.00344520250823
2018-02-19,158.28581554975548
2018-02-20,158.56772561438078
2018-02-21,158.84915548645898
2018-02-22,159.1300103084806
2018-02-23,159.41035489102296
2018-02-24,159.69014895123883
2018-02-25,159.9693945948635
2018-02-26,160.24807342995499
2018-02-27,160.5976633169708
2018-02-28,161.24929005883914
2018-03-01,161.8539966836007
2018-03-02,162.4140494867363
2018-03-03,163.48337979064965
2018-03-04,164.55213996997173
2018-03-05,165.79892357089614
2018-03-06,167.1404103992083
2018-03-07,168.8859873188593
2018-03-08,170.57034952204904
2018-03-09,172.1965390552136
2018-03-10,173.87098002118333
2018-03-11,175.5460416446335
2018-03-12,177.22171063382007
2018-03-13,178.51756247535096
2018-03-14,178.19974593258632
2018-03-15,178.12947430141278
2018-03-16,178.29465055469515
2018-03-17,177.60290208812285
2018-03-18,176.91132760229456
2018-03-19,176.21996544088242
2018-03-20,175.57641011340442
2018-03-21,175.13556461555729
2018-03-22,174.66477157752627
2018-03-23,174.1655645444073
2018-03-24,174.57210573347706
2018-03-25,174.97960699402284
2018-03-26,175.38807535148283
2018-03-27,176.14516258975462
2018-03-28,178.375724766457
2018-03-29,180.3814679752364
2018-03-30,182.17334869009233
2018-03-31,183.1565745753082
2018-04-01,184.14061659242577
2018-04-02,185.01461607638865
2018-04-03,185.88948317504392
2018-04-04,186.7633520390463
2018-04-05,187.63625905319526
2018-04-06,188.30311465724031
2018-04-07,189.3393606416319
2018-04-08,190.50725486367608
