Date,TD1,TD2,DT1,DT2,PR1,PR2
22/01/2017,172.2066997,151.2573798,149.4889428,105.5616917,188.8095684,143.5776598
23/01/2017,172.3284586,147.4223493,149.4916586,104.3319169,187.9000524,143.3786525
24/01/2017,171.7367653,149.3415023,149.2807068,105.7188549,189.5242354,143.1334966
25/01/2017,171.1459053,145.8822346,149.0703732,104.5548856,189.1166263,143.1909829
26/01/2017,170.5558784,147.816526,148.8606582,105.1226743,190.0003194,142.7604951
27/01/2017,169.9666847,148.9409976,148.6515618,106.9913208,190.1527305,143.6919605
28/01/2017,169.3783239,147.5297533,148.4430844,105.9365954,189.5370467,143.9876899
29/01/2017,168.788839,146.7490417,148.2344431,104.1761512,189.6849951,143.4050131
30/01/2017,168.1982299,150.1547642,148.0256382,106.378173,190.3378966,143.3597649
31/01/2017,168.0347324,146.6969817,147.9592895,103.5874893,188.3559915,143.055263
01/02/2017,167.8697751,145.6036204,147.8925399,105.2721135,188.5480642,144.6974148
02/02/2017,167.7033577,147.2156345,147.8253896,104.1066398,188.9419334,143.5523409
03/02/2017,167.5354803,149.7583614,147.7578386,103.7132601,189.5844618,142.8050662
04/02/2017,167.3661426,149.5095517,147.6898873,104.1796542,189.1518108,143.3953854
05/02/2017,167.1969102,144.8809605,147.6215357,104.0806986,186.2572576,143.0530975
06/02/2017,167.0277831,147.7267098,147.552784,104.870085,187.5942787,143.0638729
07/02/2017,167.3912285,144.9014022,147.6914246,104.1016354,188.2612493,141.2063153
08/02/2017,167.7547789,148.2258708,147.8296653,106.1364816,190.4434653,141.7996377
09/02/2017,168.1184341,148.038285,147.9675064,106.0037341,190.2196437,142.621249
10/02/2017,168.4821941,149.3279534,148.1049479,106.5207142,189.8717669,142.3327009
11/02/2017,168.8460589,148.7684446,148.2419901,106.5151298,190.2288209,142.0019589
12/02/2017,169.2094412,146.5928145,148.3790243,105.0014553,189.6921191,141.9116711
13/02/2017,169.5723409,143.1969123,148.5160509,101.0485783,190.0463184,141.8020807
14/02/2017,169.9350163,145.4688624,148.6530549,103.9952325,190.9606192,142.0169909
15/02/2017,170.2974674,144.1518009,148.7900363,101.5539866,190.1331748,142.0330258
16/02/2017,170.6596942,145.4296452,148.9269952,103.9364617,190.0865176,143.0071759
17/02/2017,171.0216964,145.0812846,149.0639319,105.0739759,190.5047019,142.8228656
18/02/2017,170.7081494,142.1501421,148.9930543,103.0607531,188.4323985,142.9094926
19/02/2017,170.3947691,142.2621335,148.9219589,103.6758642,189.7832443,142.8314424
20/02/2017,170.0815555,144.3886355,148.8506459,103.7851412,189.7384498,142.7377403
21/02/2017,169.7685084,144.1534368,148.7791155,103.0607152,188.8541528,142.1947674
22/02/2017,169.4556278,144.6947945,148.7073676,103.5753416,189.6643964,142.7817674
23/02/2017,169.1429137,142.6084412,148.6354025,102.9312637,189.0475602,143.3307208
24/02/2017,168.8303658,139.9601896,148.5632202,101.6128781,187.1001779,143.0401335
25/02/2017,172.0705762,140.696895,149.7742066,100.8480981,186.2299876,142.9453258
26/02/2017,172.0466319,138.476595,149.6992403,101.0096206,186.4846932,143.6464096
27/02/2017,172.0222784,138.1332317,149.6242579,99.45105231,185.0236199,143.9154949
28/02/2017,171.9975156,142.6748036,149.5492594,102.0285638,187.9412624,142.8132914
01/03/2017,171.9723433,142.9882959,149.4742451,100.9171196,189.3902826,140.9043252
02/03/2017,171.9467615,145.6169161,149.399215,105.0454381,189.7124776,142.6356319
03/03/2017,171.8752216,141.6195871,149.307606,102.1164247,188.9684636,142.0596086
04/03/2017,171.803272,142.447285,149.2159814,101.3814654,189.9655463,141.6160347
