Vibration3HDate,Vibration3H
2017-07-05,203.75990094527643
2017-07-06,208.4495723674177
2017-07-07,210.467574064892
2017-07-08,205.8724594365656
2017-07-09,204.22475977885895
2017-07-10,202.5147826817773
2017-07-11,205.4296201017594
2017-07-12,211.83630442852913
2017-07-13,210.92227751167644
2017-07-14,210.37702905186
2017-07-15,199.92146441345838
2017-07-16,206.13236385880361
2017-07-17,203.50876117451983
2017-07-18,202.6362796766401
2017-07-19,202.02008423886636
2017-07-20,203.4186450845347
2017-07-21,205.12269842328004
2017-07-22,202.03650410311695
2017-07-23,204.74299220163994
2017-07-24,205.3354642729224
2017-07-25,202.632275531505
2017-07-26,205.73192997955306
2017-07-27,208.9257839664466
2017-07-28,210.96351215998902
2017-07-29,206.33082603263966
2017-07-30,204.00638314027194
2017-07-31,200.50630429127477
2017-08-01,197.16238168119702
2017-08-02,202.55165434429955
2017-08-03,209.43370360501075
2017-08-04,210.7242082306673
2017-08-05,203.40295114337943
2017-08-06,199.77876933973633
2017-08-07,202.9366676830183
2017-08-08,204.81900624539233
2017-08-09,205.46880871433626
2017-08-10,208.77768614866878
2017-08-11,206.34524999924747
2017-08-12,204.0886899076954
2017-08-13,205.51064384937695
2017-08-14,202.16480199130766
2017-08-15,197.46603682104745
2017-08-16,198.51014234658294
2017-08-17,199.27035365165588
2017-08-18,201.3544824856403
2017-08-19,204.16349536947564
2017-08-20,205.0664811309125
2017-08-21,213.48513499231998
2017-08-22,216.52294292730693
2017-08-23,210.8148880211979
2017-08-24,204.82314834314238
2017-08-25,201.41696796332755
2017-08-26,206.43939948394856
2017-08-27,202.3932438902333
2017-08-28,202.1865367909214
2017-08-29,198.1759452061963
2017-08-30,201.5051258304265
2017-08-31,202.91419052446827
2017-09-01,200.19912625371762
2017-09-02,202.29166179807325
2017-09-03,203.7819569391908
2017-09-04,197.87222410277965
2017-09-05,193.17584063021724
2017-09-06,198.87202609685352
2017-09-07,203.48984774144714
2017-09-08,204.90980679008234
2017-09-09,201.15190456497132
2017-09-10,201.1018330495631
2017-09-11,199.8287447197642
2017-09-12,199.54233772885962
2017-09-13,201.7187073628786
2017-09-14,205.38860122897054
